COUNTY_CODE,STATENAME,COUNTY,MA_REGION_CODE,MA_REGION,PDP_REGION_CODE,PDP_REGION
05420,California,PLUMAS,24,California,32,California
05430,California,RIVERSIDE,24,California,32,California
05440,California,SACRAMENTO,24,California,32,California
05450,California,SAN BENITO,24,California,32,California
05460,California,SAN BERNARDINO,24,California,32,California
05470,California,SAN DIEGO,24,California,32,California
05480,California,SAN FRANCISCO,24,California,32,California
05490,California,SAN JOAQUIN,24,California,32,California
05500,California,SAN LUIS OBISPO,24,California,32,California
05510,California,SAN MATEO,24,California,32,California
05520,California,SANTA BARBARA,24,California,32,California
05530,California,SANTA CLARA,24,California,32,California
05540,California,SANTA CRUZ,24,California,32,California
05550,California,SHASTA,24,California,32,California
05560,California,SIERRA,24,California,32,California
05570,California,SISKIYOU,24,California,32,California
05580,California,SOLANO,24,California,32,California
05590,California,SONOMA,24,California,32,California
05600,California,STANISLAUS,24,California,32,California
05610,California,SUTTER,24,California,32,California
05620,California,TEHAMA,24,California,32,California
05630,California,TRINITY,24,California,32,California
05640,California,TULARE,24,California,32,California
05650,California,TUOLUMNE,24,California,32,California
05660,California,VENTURA,24,California,32,California
05670,California,YOLO,24,California,32,California
05680,California,YUBA,24,California,32,California
05999,California, ,24,California,32,California
06000,Colorado,ADAMS,20,Colorado and New Mexico,27,Colorado
06010,Colorado,ALAMOSA,20,Colorado and New Mexico,27,Colorado
06020,Colorado,ARAPAHOE,20,Colorado and New Mexico,27,Colorado
06030,Colorado,ARCHULETA,20,Colorado and New Mexico,27,Colorado
06040,Colorado,BACA,20,Colorado and New Mexico,27,Colorado
06050,Colorado,BENT,20,Colorado and New Mexico,27,Colorado
06060,Colorado,BOULDER,20,Colorado and New Mexico,27,Colorado
06070,Colorado,CHAFFEE,20,Colorado and New Mexico,27,Colorado
06080,Colorado,CHEYENNE,20,Colorado and New Mexico,27,Colorado
06090,Colorado,CLEAR CREEK,20,Colorado and New Mexico,27,Colorado
06100,Colorado,CONEJOS,20,Colorado and New Mexico,27,Colorado
06110,Colorado,COSTILLA,20,Colorado and New Mexico,27,Colorado
06120,Colorado,CROWLEY,20,Colorado and New Mexico,27,Colorado
06130,Colorado,CUSTER,20,Colorado and New Mexico,27,Colorado
06140,Colorado,DELTA,20,Colorado and New Mexico,27,Colorado
06150,Colorado,DENVER,20,Colorado and New Mexico,27,Colorado
06160,Colorado,DOLORES,20,Colorado and New Mexico,27,Colorado
06170,Colorado,DOUGLAS,20,Colorado and New Mexico,27,Colorado
06180,Colorado,EAGLE,20,Colorado and New Mexico,27,Colorado
06190,Colorado,ELBERT,20,Colorado and New Mexico,27,Colorado
06200,Colorado,EL PASO,20,Colorado and New Mexico,27,Colorado
06210,Colorado,FREMONT,20,Colorado and New Mexico,27,Colorado
